nombre,ciudad,latitud,longitud,es_hub_juliaca,orden
Inca Manco Capac - Juliaca (Puno),"Juliaca, Puno",-15.4671,-70.1582,1,1
Jorge Chavez - Lima,Lima,-12.0219,-77.1143,0,2
Alejandro Velasco Astete - Cusco,Cusco,-13.5357,-71.9388,0,3
Alfredo Rodriguez Ballon - Arequipa,Arequipa,-16.3411,-71.5831,0,4
FAP Carlos Ciriani - Tacna,Tacna,-18.0533,-70.2756,0,5
Coronel FAP Guillermo del Castillo - Tarapoto,Tarapoto,-6.5088,-76.3733,0,6
Pedro Ruiz Gallo - Chiclayo,Chiclayo,-6.7875,-79.8281,0,7
Capitan FAP Victor Montes - Piura,Piura,-5.2075,-80.6162,0,8
Mayor General FAP Armando Revoredo - Cajamarca,Cajamarca,-7.1392,-78.4894,0,9
Gran Mariscal FAP Victor Abad - Trujillo,Trujillo,-8.0815,-79.1088,0,10
Coronel FAP Francisco Secada - Iquitos,Iquitos,-3.7843,-73.3088,0,11
Capitan FAP Pedro Canga - Tumbes,Tumbes,-3.5527,-80.3814,0,12
