nombre,categoria,latitud,longitud
Lago Titicaca,Naturaleza,-15.836,-69.335
Islas de los Uros,Isla,-15.82,-69.963
Isla Taquile,Isla,-15.766,-69.683
Isla Amantaní,Isla,-15.666,-69.716
Cañón de Tinajani,Naturaleza,-14.935,-70.627
Frontera Bolivia-Perú (Solo Referencia),Mirador,-15.4573402,-69.3028101
Hostal Los Angeles,Hotel,-16.2137795,-69.4594446
Tourist Information Center,Mirador,-16.165538,-69.0879612
Munay Tambo,Hotel,-15.8385082,-70.0285149
Hotel Palla Khasa,Hotel,-16.0334832,-69.1557479
Hostal Cultural,Hotel,-15.9975146,-69.1832303
Posada del Inca Ecolodge,Hotel,-16.0369359,-69.1463768
Arco,Mirador,-16.1622896,-69.0875878
Hotel Perla del Lago,Hotel,-16.1645328,-69.0869079
Hotel Utama,Hotel,-16.1638358,-69.0886387
Hostal Las Kantutas,Hotel,-16.1646619,-69.0872107
Hostal Leyenda,Hotel,-16.1659599,-69.089612
Hostal 6 de Agosto,Hotel,-16.1654507,-69.088543
Hotel Mirador,Hotel,-16.1663108,-69.0895573
Centro de Información Turistica,Mirador,-16.1656042,-69.0879108
Hotel Chasqui del Sol,Hotel,-16.1676019,-69.089887
Hostal Colonial,Hotel,-16.1657549,-69.0882415
Hostal Los Andes,Hotel,-16.1663534,-69.0889267
Asiento del Inca,Sitio Arqueológico,-16.1676749,-69.0827802
Hostal Center,Hotel,-16.1656786,-69.087619
Hostel La Academia,Hotel,-16.1655528,-69.0872027
Hostal Pacha,Hotel,-16.1658913,-69.087498
Hotel Ambasador,Hotel,-16.164549,-69.0877343
Hostal Las Balsas,Hotel,-16.167881,-69.0883295
Hospedaria del Santuario,Hotel,-16.1661528,-69.086217
Residencial Sucre,Hotel,-16.1663971,-69.0850125
Taypicala Spa,Hotel,-15.8919215,-69.8878718
Taypicala Lago,Hotel,-15.8905819,-69.8870009
Museo Litico Pukara,Museo,-15.0425251,-70.3686339
WalkOnInn,Hotel,-15.8417589,-70.0311749
Mirador Sagrado Corazón de Jesús,Mirador,-16.1608541,-69.089338
Mirador El Calvario,Mirador,-16.1616403,-69.091364
Aldea Del Inca,Hotel,-16.1640662,-69.0889017
Museo de Oro de Challapampa,Museo,-15.9973662,-69.1830501
Concomani,Sitio Arqueológico,-16.3747222,-69.1461111
Santo Cristo,Sitio Arqueológico,-15.9541667,-70.0722222
Casa Andina Private Collection,Hotel,-15.8238833,-69.9971915
Islas Flotantes de los Uros,Mirador,-15.8163443,-69.9719069
GHL Lago Titicaca,Hotel,-15.8278406,-69.9930686
Ecolodge La Estancia,Hotel,-16.029111,-69.1498385
Casona Plaza,Hotel,-15.8403996,-70.0268532
La Cúpula,Hotel,-16.1635427,-69.0895538
Suma Samawi,Mirador,-16.1739495,-69.0942456
Sillustani Camping,Mirador,-15.724199,-70.1508594
Quechuas Backpackers Hostel,Hotel,-15.8376295,-70.0288861
Sillustani,Hotel,-15.8384083,-70.0288379
Lake Titicaca Hotel,Hotel,-15.8230064,-69.9952839
Sonia,Hotel,-16.1679677,-69.0853867
Museo Carlos Dreyer,Museo,-15.8407969,-70.0295443
Casa Panq'arani,Hotel,-15.8440609,-70.0241713
Las Cabanas,Hotel,-15.8924749,-69.8906099
Hostal Andenes,Hotel,-15.841872,-70.0290123
Pachamama,Sitio Arqueológico,-15.6726713,-69.7169042
Arco de Kasani,Mirador,-16.2255279,-69.0957186
iPerú,Mirador,-15.8401291,-70.0277012
Camino Real Turistico,Hotel,-15.836554,-70.0284571
Inka's Rest,Hotel,-15.8380428,-70.025219
Emperador,Hotel,-16.1678954,-69.085186
Casa Blanca,Hotel,-15.8758027,-69.9298394
Inca Tunuhuiri,Sitio Arqueológico,-15.8890173,-69.9313213
Brisas del Titicaca,Hotel,-16.1653623,-69.0899612
Hostal Florencia,Hotel,-16.1675076,-69.0858456
Pisada del Sol,Hotel,-15.9991929,-69.1827399
Las Islas,Hotel,-16.0366744,-69.147037
Tawri,Hotel,-16.0372325,-69.1476686
Las Nubes,Hotel,-16.0153777,-69.1806446
astursperu,Mirador,-15.6421265,-69.831048
Camp Titicaca,Mirador,-15.6376204,-69.814387
Inti Wasi,Hotel,-15.639718,-69.8118629
Mirador Q'eskapa,Mirador,-15.7219739,-69.7869512
Hostal San Carlos,Hotel,-15.8375108,-70.0257452
Qalasaya,Hotel,-15.8395983,-70.0281461
Zurit,Hotel,-15.8378378,-70.0268456
Monterrey,Hotel,-15.8394288,-70.0278785
Manuel Pino,Mirador,-15.8378166,-70.0280652
Sol Plaza,Hotel,-15.8406544,-70.0270892
Qoñi Wasi Hostal,Hotel,-15.836812,-70.0263865
Hostal Los Uros,Hotel,-15.8366558,-70.0270477
Mirador Puma Uta,Mirador,-15.8202693,-70.0287285
Jacha Inti,Hotel,-16.0397526,-69.1447611
Mirador del Titikaka,Hotel,-15.8101602,-70.0221694
Hostal El Manzano,Hotel,-15.8383798,-70.0214865
Treasure to the lake,Hotel,-16.1659628,-69.0889523
Refugio Ecologico Kalluchi,Hotel,-16.0435899,-69.1445084
Mirador de flamencos,Mirador,-15.7182227,-70.8367711
Hotel Casona Plaza Centro,Hotel,-15.8412414,-70.0273264
CIAC Regional Arqueológico,Museo,-16.1529688,-69.0692533
Baño del Inca,Sitio Arqueológico,-16.1530231,-69.0698127
Lake Hostal,Hotel,-15.8381103,-70.0312271
Pacha Confort,Hotel,-15.8253146,-70.0112268
Pacha hostel,Hotel,-15.8367841,-70.0285811
Isla Titino,Mirador,-15.7435088,-69.8792401
Puente Coata,Mirador,-15.5657193,-69.9563308
Frontera Bolivia-Peru (Solo Referencia),Mirador,-15.4583839,-69.2399135
Las Olas,Hotel,-16.163667,-69.0902305
Balsa Inn,Hotel,-15.8417717,-70.0283263
Inca,Mirador,-16.1912312,-69.0827157
Hotel Arequipa,Hotel,-15.837142,-70.0277954
Hotel Pacaypampa,Hotel,-15.4866151,-70.1242242
Hostal Milagros,Hotel,-15.4885126,-70.123541
America Inn,Hotel,-15.8393972,-70.0234849
Hostal Misky Ilare,Hotel,-15.8459407,-70.0198043
Hostal Wida,Hotel,-16.1662811,-69.088071
Totorani Inn,Hotel,-15.8328804,-70.0279836
Titi Qala Hostel,Hotel,-15.9966999,-69.1823042
COZY HOSTEL,Hotel,-15.8375262,-70.0254696
Huchuy Wasi,Hotel,-15.8346542,-70.0312633
Inca Uyu,Sitio Arqueológico,-15.8921587,-69.8886273
Cristo de Putina,Mirador,-14.9101491,-69.8712745
Hostal Shalea,Hotel,-14.9158027,-69.8676788
Hotel Posada del Puente Putina,Hotel,-14.915733,-69.8676118
Palacio del Inca,Hotel,-16.0390389,-69.1459523
Las Olas de Titicaca,Hotel,-16.1665997,-69.0881239
Hospedaje Paraíso,Hotel,-14.9157139,-69.8651809
Hospedaje Señor de Huanca,Hotel,-14.9151989,-69.8646226
Hostal Torre Dorada,Hotel,-14.9156132,-69.8656572
Casa de Mama Ruperta,Hotel,-15.6720269,-69.706845
Grisman,Hotel,-14.9146561,-69.8644137
Hospedaje Luna Brilliante,Hotel,-15.6952964,-70.6022701
Hostales Andes,Hotel,-15.6996603,-70.6074499
Hostal Mirador del Sol,Hotel,-15.995711,-69.181796
Santiago Giraldo,Mirador,-14.9148914,-69.8602914
La Cara de Cristo,Mirador,-15.1201539,-69.8165865
Hospidaje Municipal,Hotel,-16.1428684,-70.5403775
Posada Don Giorgio,Hotel,-15.8378397,-70.0292264
Inka Qamaña,Mirador,-16.258984,-69.1714339
Perú Kori,Hotel,-14.9160411,-69.8671094
Hotel Residencial Embajadores,Hotel,-15.4899683,-70.1304538
Flore Andina,Hotel,-16.1644925,-69.0866943
Pacha Suite,Hotel,-15.8410319,-70.026238
Posada Santa Barbara,Hotel,-15.8961275,-69.8893917
Hostal Americano,Hotel,-15.041243,-70.3664598
Museo Wawamarka,Museo,-15.8932831,-69.8884102
Hospedaje Miraflores,Hotel,-15.4858949,-70.1232141
Residencial Nelly,Hotel,-16.1661604,-69.08846
Ganado Bravo,Mirador,-14.8095965,-70.0239401
La Casa del Sol,Hotel,-16.1664302,-69.0839729
CECOVASA,Mirador,-15.5211674,-70.1203477
Refugio Ecológico Wiracocha,Hotel,-16.0013895,-69.1820876
Don Tito Inn II,Hotel,-15.8386734,-70.0276142
Arco Iris Hostal y Restaurant,Hotel,-16.036721,-69.1471324
Hospedaje Estrella,Hotel,-15.3659203,-70.3668498
Hospedaje San Andrés,Hotel,-16.2467891,-69.0946706
