id,anio,mes_num,mes,sitio_turistico,temporada,festividad,tiene_festividad,nacionalidad,num_visitantes,temperatura_promedio_c,precipitacion_mm,satisfaccion_1_5,gasto_promedio_soles,tipo_transporte
1,2019,1,Enero,Sillustani,Alta,Ninguna,0,Peruano,371,8.9,121.0,3.7,49.77,Transporte público
2,2019,1,Enero,Sillustani,Alta,Ninguna,0,Estadounidense,179,8.9,121.0,3.4,86.15,Tour organizado
3,2019,1,Enero,Sillustani,Alta,Ninguna,0,Europeo,234,8.9,121.0,3.6,114.04,Transporte público
4,2019,1,Enero,Sillustani,Alta,Ninguna,0,Asiático,92,8.9,121.0,3.4,82.36,Tour organizado
5,2019,1,Enero,Sillustani,Alta,Ninguna,0,Latinoamericano,157,8.9,121.0,3.2,61.98,Tour organizado
6,2019,1,Enero,Sillustani,Alta,Ninguna,0,Otro,51,8.9,121.0,4.0,72.16,Tour organizado
7,2019,1,Enero,Islas Uros,Alta,Ninguna,0,Peruano,1091,8.9,121.0,3.3,38.64,Lancha turística
8,2019,1,Enero,Islas Uros,Alta,Ninguna,0,Estadounidense,841,8.9,121.0,3.5,154.06,Lancha turística
9,2019,1,Enero,Islas Uros,Alta,Ninguna,0,Europeo,801,8.9,121.0,3.3,118.49,Lancha turística
10,2019,1,Enero,Islas Uros,Alta,Ninguna,0,Asiático,397,8.9,121.0,3.7,69.11,Lancha turística
11,2019,1,Enero,Islas Uros,Alta,Ninguna,0,Latinoamericano,427,8.9,121.0,4.0,78.86,Lancha turística
12,2019,1,Enero,Islas Uros,Alta,Ninguna,0,Otro,183,8.9,121.0,3.5,96.04,Lancha turística
13,2019,1,Enero,Isla Taquile,Alta,Ninguna,0,Peruano,489,8.9,121.0,3.3,56.79,Tour organizado
14,2019,1,Enero,Isla Taquile,Alta,Ninguna,0,Estadounidense,305,8.9,121.0,3.6,122.46,Lancha turística
15,2019,1,Enero,Isla Taquile,Alta,Ninguna,0,Europeo,399,8.9,121.0,3.4,142.31,Tour organizado
16,2019,1,Enero,Isla Taquile,Alta,Ninguna,0,Asiático,198,8.9,121.0,3.2,84.98,Lancha turística
17,2019,1,Enero,Isla Taquile,Alta,Ninguna,0,Latinoamericano,164,8.9,121.0,3.0,57.8,Lancha turística
18,2019,1,Enero,Isla Taquile,Alta,Ninguna,0,Otro,76,8.9,121.0,3.9,83.22,Tour organizado
19,2019,1,Enero,Cutimbo,Alta,Ninguna,0,Peruano,264,8.9,121.0,3.1,56.19,Transporte público
20,2019,1,Enero,Cutimbo,Alta,Ninguna,0,Estadounidense,46,8.9,121.0,2.8,137.64,Transporte propio
21,2019,1,Enero,Cutimbo,Alta,Ninguna,0,Europeo,74,8.9,121.0,3.1,115.51,Transporte propio
22,2019,1,Enero,Cutimbo,Alta,Ninguna,0,Asiático,20,8.9,121.0,3.7,95.54,Tour organizado
23,2019,1,Enero,Cutimbo,Alta,Ninguna,0,Latinoamericano,39,8.9,121.0,3.6,51.46,Transporte propio
24,2019,1,Enero,Cutimbo,Alta,Ninguna,0,Otro,25,8.9,121.0,3.1,59.05,Transporte público
25,2019,1,Enero,Pukara,Alta,Ninguna,0,Peruano,357,8.9,121.0,3.0,46.44,Tour organizado
26,2019,1,Enero,Pukara,Alta,Ninguna,0,Estadounidense,84,8.9,121.0,2.8,147.7,Transporte propio
27,2019,1,Enero,Pukara,Alta,Ninguna,0,Europeo,109,8.9,121.0,3.0,96.37,Transporte propio
28,2019,1,Enero,Pukara,Alta,Ninguna,0,Asiático,32,8.9,121.0,3.7,116.42,Transporte propio
29,2019,1,Enero,Pukara,Alta,Ninguna,0,Latinoamericano,62,8.9,121.0,3.5,65.3,Tour organizado
30,2019,1,Enero,Pukara,Alta,Ninguna,0,Otro,37,8.9,121.0,3.0,86.67,Transporte propio
31,2019,1,Enero,Aramu Muru,Alta,Ninguna,0,Peruano,130,8.9,121.0,3.2,52.52,Tour organizado
32,2019,1,Enero,Aramu Muru,Alta,Ninguna,0,Estadounidense,26,8.9,121.0,3.2,92.05,Transporte propio
33,2019,1,Enero,Aramu Muru,Alta,Ninguna,0,Europeo,37,8.9,121.0,3.5,97.3,Tour organizado
34,2019,1,Enero,Aramu Muru,Alta,Ninguna,0,Asiático,9,8.9,121.0,3.3,70.99,Transporte público
35,2019,1,Enero,Aramu Muru,Alta,Ninguna,0,Latinoamericano,19,8.9,121.0,3.7,66.28,Transporte propio
36,2019,1,Enero,Aramu Muru,Alta,Ninguna,0,Otro,9,8.9,121.0,3.2,82.39,Transporte propio
37,2019,2,Febrero,Sillustani,Alta,Fiesta de la Candelaria,1,Peruano,777,8.4,124.3,3.8,50.13,Tour organizado
38,2019,2,Febrero,Sillustani,Alta,Fiesta de la Candelaria,1,Estadounidense,327,8.4,124.3,3.7,110.89,Transporte público
39,2019,2,Febrero,Sillustani,Alta,Fiesta de la Candelaria,1,Europeo,408,8.4,124.3,3.2,81.23,Tour organizado
40,2019,2,Febrero,Sillustani,Alta,Fiesta de la Candelaria,1,Asiático,156,8.4,124.3,3.2,79.05,Tour organizado
41,2019,2,Febrero,Sillustani,Alta,Fiesta de la Candelaria,1,Latinoamericano,246,8.4,124.3,3.1,48.13,Tour organizado
42,2019,2,Febrero,Sillustani,Alta,Fiesta de la Candelaria,1,Otro,108,8.4,124.3,3.1,67.42,Transporte propio
43,2019,2,Febrero,Islas Uros,Alta,Fiesta de la Candelaria,1,Peruano,1216,8.4,124.3,3.9,46.92,Lancha turística
44,2019,2,Febrero,Islas Uros,Alta,Fiesta de la Candelaria,1,Estadounidense,853,8.4,124.3,3.5,113.31,Lancha turística
45,2019,2,Febrero,Islas Uros,Alta,Fiesta de la Candelaria,1,Europeo,996,8.4,124.3,3.4,104.96,Lancha turística
46,2019,2,Febrero,Islas Uros,Alta,Fiesta de la Candelaria,1,Asiático,544,8.4,124.3,3.1,103.75,Tour organizado
47,2019,2,Febrero,Islas Uros,Alta,Fiesta de la Candelaria,1,Latinoamericano,399,8.4,124.3,3.4,58.73,Lancha turística
